Rank,Name,Year,Cast,Rating,Link
1,The Shawshank Redemption,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.2,www.imdb.com/title/tt0111161/
2,The Godfather,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.2,www.imdb.com/title/tt0068646/
3,The Dark Knight,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",9.0,www.imdb.com/title/tt0468569/
4,The Godfather Part II,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",9.0,www.imdb.com/title/tt0071562/
5,12 Angry Men,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.9,www.imdb.com/title/tt0050083/
6,Schindler's List,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.9,www.imdb.com/title/tt0108052/
7,The Lord of the Rings: The Return of the King,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.9,www.imdb.com/title/tt0167260/
8,Pulp Fiction,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.8,www.imdb.com/title/tt0110912/
9,The Lord of the Rings: The Fellowship of the Ring,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.8,www.imdb.com/title/tt0120737/
10,"Il buono, il brutto, il cattivo",1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.8,www.imdb.com/title/tt0060196/
11,Forrest Gump,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.8,www.imdb.com/title/tt0109830/
12,Fight Club,1999,"David Fincher (dir.), Brad Pitt, Edward Norton",8.7,www.imdb.com/title/tt0137523/
13,Inception,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.7,www.imdb.com/title/tt1375666/
14,The Lord of the Rings: The Two Towers,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.7,www.imdb.com/title/tt0167261/
15,The Empire Strikes Back,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.7,www.imdb.com/title/tt0080684/
16,The Matrix,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.7,www.imdb.com/title/tt0133093/
17,Goodfellas,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.7,www.imdb.com/title/tt0099685/
18,One Flew Over the Cuckoo's Nest,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.6,www.imdb.com/title/tt0073486/
19,Se7en,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.6,www.imdb.com/title/tt0114369/
20,Shichinin no samurai,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.6,www.imdb.com/title/tt0047478/
21,It's a Wonderful Life,1946,"Frank Capra (dir.), James Stewart, Donna Reed",8.6,www.imdb.com/title/tt0038650/
22,The Silence of the Lambs,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.6,www.imdb.com/title/tt0102926/
23,Cidade de Deus,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.6,www.imdb.com/title/tt0317248/
24,Saving Private Ryan,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.6,www.imdb.com/title/tt0120815/
25,La vita è bella,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.6,www.imdb.com/title/tt0118799/
26,The Green Mile,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.6,www.imdb.com/title/tt0120689/
27,Interstellar,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.6,www.imdb.com/title/tt0816692/
28,Star Wars,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.6,www.imdb.com/title/tt0076759/
29,Terminator 2: Judgment Day,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.5,www.imdb.com/title/tt0103064/
30,Back to the Future,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.5,www.imdb.com/title/tt0088763/
31,Sen to Chihiro no kamikakushi,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.5,www.imdb.com/title/tt0245429/
32,Psycho,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.5,www.imdb.com/title/tt0054215/
33,The Pianist,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.5,www.imdb.com/title/tt0253474/
34,Léon,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.5,www.imdb.com/title/tt0110413/
35,Gisaengchung,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun",8.5,www.imdb.com/title/tt6751668/
36,The Lion King,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.5,www.imdb.com/title/tt0110357/
37,Gladiator,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.5,www.imdb.com/title/tt0172495/
38,American History X,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.5,www.imdb.com/title/tt0120586/
39,The Departed,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.5,www.imdb.com/title/tt0407887/
40,The Usual Suspects,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.5,www.imdb.com/title/tt0114814/
41,The Prestige,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.5,www.imdb.com/title/tt0482571/
